trump,1.0
new,0.9583333333333334
donald,0.625
donald trump,0.6166666666666667
clinton,0.36666666666666664
york,0.32916666666666666
dies,0.325
new york,0.325
rio,0.3
hillary,0.26666666666666666
women,0.2625
olympic,0.25833333333333336
hillary clinton,0.25
police,0.24166666666666667
olympics,0.22916666666666666
says,0.21666666666666667
world,0.2
gold,0.19166666666666668
american,0.18333333333333332
china,0.17083333333333334
city,0.15
black,0.15
war,0.15
life,0.14583333333333334
home,0.14166666666666666
campaign,0.14166666666666666
like,0.13333333333333333
case,0.13333333333333333
yankees,0.13333333333333333
zika,0.12916666666666668
mets,0.12916666666666668
man,0.12916666666666668
long,0.125
way,0.12083333333333333
make,0.12083333333333333
summer,0.11666666666666667
big,0.11666666666666667
season,0.11666666666666667
america,0.1125
obama,0.1125
chinese,0.1125
deal,0.10833333333333334
million,0.10833333333333334
end,0.10833333333333334
don,0.10833333333333334
court,0.10833333333333334
art,0.10833333333333334
michael,0.10416666666666667
team,0.10416666666666667
love,0.10416666666666667
